job_title,company_name,location,salary,salary_type,job_description,job_tags,job_url
"Senior Data Scientist, Growth Analytics",Airwallex Pty Ltd.,"San Francisco, CA",,Not Listed,We’re seeking a senior Data Scientist to partner closely with the Marketing team to derive actionable data‑driven insights and to directly impact business outcomes.,"Local area, Worldwide",https://jooble.org/away/-793093898326537804?p=1&amp;pos=29&amp;rgn=55157&amp;pageType=20&amp;ckey=data+scientist&amp;sid=-3853338646247838305&amp;jobAge=107&amp;relb=10&amp;brelb=10&amp;scr=13877.21378648966&amp;bscr=13877.21378648966&amp;elckey=3431648277246123730&amp;searchTestGroup=1_2_1&amp;iid=2640831184365012380
"Senior Data Scientist, Finance",Brex Inc.,"San Francisco, CA",192000.0,yearly,"Brex is the AI-powered spend platform. We help companies spend with confidence with integrated corporate cards, banking, and global payments, plus...","Work at office, Remote work, Work from home, 3 days per week",https://jooble.org/away/-7395620686138909815?p=1&amp;pos=30&amp;rgn=55157&amp;pageType=20&amp;ckey=data+scientist&amp;sid=-3853338646247838305&amp;jobAge=83&amp;relb=10&amp;brelb=10&amp;scr=13868.68692896378&amp;bscr=13868.68692896378&amp;elckey=3431648277246123730&amp;searchTestGroup=1_2_1&amp;iid=-844707931228376437
Lead Data Scientist,Streamline Media Group,Remote,,Not Listed,"Job Responsibilities: Manage data scientist and data specialist team. Identify the efficient source for quality data collection, Lead data collection and data mining processes. Ensure and guarantee data integrity. Analyze data and interpret data problems","Remote job, Full time",https://jooble.org/desc/-8979264032455520769?ckey=data+scientist&amp;rgn=55157&amp;pos=31&amp;groupId=1077&amp;elckey=3431648277246123730&amp;pageType=20&amp;p=1&amp;sid=-3853338646247838305&amp;jobAge=11&amp;relb=110&amp;brelb=110&amp;bscr=13838.642010352898&amp;scr=13838.642010352898&amp;searchTestGroup=1_2_1&amp;iid=1625522053478358925
Data Center Optical Engineer,NextGen | GTA: A Kelly Telecom Company,"Atlanta, GA",,Not Listed,"Data Center Optical Engineer/Installation Locations: Atlanta, GA | Chicago, IL | Denver, CO | San Jose, CA | Los Angeles, CA | Dallas/Fort Worth, TX | Reston, VA Position Summary We are seeking a highly skilled Data Center Optical Engineer to support the","For contractors, Local area, Remote work, Night shift, Weekend work",https://jooble.org/away/9026037104652011448?p=1&amp;pos=32&amp;rgn=55157&amp;pageType=20&amp;ckey=data+scientist&amp;sid=-3853338646247838305&amp;jobAge=35&amp;relb=10&amp;brelb=10&amp;scr=13829.6776338407&amp;bscr=13829.6776338407&amp;elckey=3431648277246123730&amp;searchTestGroup=1_2_1&amp;iid=-2462271545462223256
Senior Data Scientist [Remote-US],Get Furniture Jobs,"San Francisco, CA",,Not Listed,"backing of leading insurer, State Farm. Learn more about us and our work at quanata.com. The role: We’re looking for a Senior Data Scientist to be the strategic anchor for a functional team. You won't just be building models; you'll be a key influencer who translates",Remote work,https://jooble.org/away/1455494123163837581?p=1&amp;pos=33&amp;rgn=55157&amp;pageType=20&amp;ckey=data+scientist&amp;sid=-3853338646247838305&amp;jobAge=107&amp;relb=10&amp;brelb=10&amp;scr=13807.948471910327&amp;bscr=13807.948471910327&amp;elckey=3431648277246123730&amp;searchTestGroup=1_2_1&amp;iid=1888090524829764695
Commissioning Engineer (Data Centers) (Morristown),Jobot,"Morristown, NJ",100.0,hourly,"calls, text messages, or emails from Jobot, and/or its agents and contracted partners. Frequency varies for text messages. Message and data rates may apply. Carriers are not liable for delayed or undelivered messages.","Hourly pay, Full time, Temporary work, Part time, Locum, Local area, Flexible hours, Shift work, Night shift, Weekend work, Day shift, Weekday work",https://jooble.org/away/-1362472984615557458?p=1&amp;pos=34&amp;rgn=55157&amp;pageType=20&amp;ckey=data+scientist&amp;sid=-3853338646247838305&amp;jobAge=8&amp;relb=10&amp;brelb=10&amp;scr=13713.25401503432&amp;bscr=13713.25401503432&amp;elckey=3431648277246123730&amp;searchTestGroup=1_2_1&amp;iid=8543406994758756970
Entry level Data Analyst,Arc Document Solutions,Remote,,Not Listed,We are committed to delivering cutting-edge data analytics of our services to our clients. Our goal is to help businesses make decisions and achieve their objectives through the power of data. Job Description: We are seeking a highly motivated Entry Level,"Remote job, Full time",https://jooble.org/desc/175235506880705652?ckey=data+scientist&amp;rgn=55157&amp;pos=35&amp;groupId=1077&amp;elckey=3431648277246123730&amp;pageType=20&amp;p=1&amp;sid=-3853338646247838305&amp;jobAge=467&amp;relb=100&amp;brelb=100&amp;bscr=13672.264450641054&amp;scr=13672.264450641054&amp;searchTestGroup=1_2_1&amp;iid=6017625202582394972
Electrical Engineer (Data Centers) (New York City),Jobot,"New York, NY",105000.0,yearly,"Award-Winning Engineering Consulting Firm specializing in Design/Build Mission Critical Projects, Hyperscale Data Centers, and Healthcare Facilities. For over 40 years we've built a team of innovative Engineers & Architects devoted to principles","Full time, Part time, Local area, Remote work, Flexible hours",https://jooble.org/away/-4962761170937891728?p=1&amp;pos=36&amp;rgn=55157&amp;pageType=20&amp;ckey=data+scientist&amp;sid=-3853338646247838305&amp;jobAge=8&amp;relb=10&amp;brelb=10&amp;scr=13670.842116439771&amp;bscr=13670.842116439771&amp;elckey=3431648277246123730&amp;searchTestGroup=1_2_1&amp;iid=4601351046016356752
Sr. Data Scientist,Putnam Recruiting,Remote,,Not Listed,"We’re hiring for a Senior Data Scientist who is a skilled specialist in Large Language Models (LLMs) and deep learning modeling, with a highly curious and adaptable mindset, driven by an entrepreneurial spirit. Must Haves: Master’s degree with 5 years","Full time, Temporary work",https://jooble.org/jdp/6971797362826835203?ckey=data+scientist&amp;rgn=55157&amp;pos=37&amp;groupId=1077&amp;elckey=3431648277246123730&amp;pageType=20&amp;p=1&amp;sid=-3853338646247838305&amp;jobAge=525&amp;relb=100&amp;brelb=100&amp;bscr=13663.224767107731&amp;scr=13663.224767107731&amp;searchTestGroup=1_2_1&amp;iid=-755196200576031527
Remote Data Entry Specialist,Hope Grows Corp,Remote,,Not Listed,We are seeking a detail-oriented Remote Data Entry Specialist to join our team. The ideal candidate will be responsible for accurately entering data into our systems from...,"Remote job, Full time",https://jooble.org/desc/6009075339944214435?ckey=data+scientist&amp;rgn=55157&amp;pos=38&amp;groupId=1077&amp;elckey=3431648277246123730&amp;pageType=20&amp;p=1&amp;sid=-3853338646247838305&amp;jobAge=443&amp;relb=110&amp;brelb=110&amp;bscr=13604.60688059706&amp;scr=13604.60688059706&amp;searchTestGroup=1_2_1&amp;iid=-4044097266619567431
Data Scientist,Thirdwave,Remote,,Not Listed,"Thirdwave is looking for a highly skilled Data Scientist to join our team. Our ideal candidate is someone with a strong analytical mindset, capable of leading advanced data analytics","Remote job, Full time, Home office, Flexible hours",https://jooble.org/desc/9026253168546760175?ckey=data+scientist&amp;rgn=55157&amp;pos=39&amp;groupId=1077&amp;elckey=3431648277246123730&amp;pageType=20&amp;p=1&amp;sid=-3853338646247838305&amp;jobAge=443&amp;relb=110&amp;brelb=110&amp;bscr=13589.250593245752&amp;scr=13589.250593245752&amp;searchTestGroup=1_2_1&amp;iid=2670800595255438429
Commissioning Engineer (Data Centers) (Fairfax),Jobot,"Fairfax, VA",108000.0,yearly,"calls, text messages, or emails from Jobot, and/or its agents and contracted partners. Frequency varies for text messages. Message and data rates may apply. Carriers are not liable for delayed or undelivered messages. You can reply STOP to cancel and HELP for help.","Full time, Temporary work, Part time, Work at office, Local area, Relocation package, Monday to Friday, Flexible hours, Weekend work",https://jooble.org/away/-4850812509785196528?p=1&amp;pos=40&amp;rgn=55157&amp;pageType=20&amp;ckey=data+scientist&amp;sid=-3853338646247838305&amp;jobAge=8&amp;relb=10&amp;brelb=10&amp;scr=13527.068968860222&amp;bscr=13527.068968860222&amp;elckey=3431648277246123730&amp;searchTestGroup=1_2_1&amp;iid=-7921424471398503440
