job_title,company_name,location,salary,salary_type,job_description,job_tags,job_url
Machine Learning Engineer / Data Scientist,Fusemachines,"New York, NY",,Not Listed,"...full potential with AI. Type: Full-time, Remote Role Overview We’re hiring a mid-to-senior Machine Learning Engineer / Data Scientist to build and deploy machine learning solutions that drive measurable business impact. You’ll work across the ML lifecycle—from...","Full time, H1b, Local area, Remote work",https://jooble.org/desc/2800719644876021310?ckey=data+scientist&rgn=55157&pos=30&groupId=1077&elckey=-8560287488356331614&pageType=20&p=1&sid=7664658883607973443&jobAge=563&relb=100&brelb=100&bscr=15612.84633862136&scr=15612.84633862136&searchTestGroup=1_2_1&iid=-4567838233750416730
Data Scientist,Arcade,"San Francisco, CA",,Not Listed,"...expression, and on-demand manufacturing, and we’re building fast. Role Summary We are seeking an analytical, entrepreneurial Data Scientist to lead Arcade’s analytics, experimentation, and data science capabilities. This is a highly cross‑functional role that...",Local area,https://jooble.org/away/-6295827079008016186?p=1&pos=31&rgn=55157&pageType=20&ckey=data+scientist&sid=7664658883607973443&jobAge=107&relb=10&brelb=10&scr=15607.605630885795&bscr=15607.605630885795&elckey=-8560287488356331614&searchTestGroup=1_2_1&iid=1770033019939684750
Lead Data Scientist,Facet,Remote,170000.0,yearly,"...delivered with a fresh, human-plus-tech approach, that includes a CFP® professional–the highest certification possible. As a Lead Data Scientist at Facet, you will push the limits of our analytics and predictive capabilities through research, experimentation, and data...","Remote job, Full time, Temporary work, Flexible hours",https://jooble.org/desc/7548105889942189477?ckey=data+scientist&rgn=55157&pos=32&groupId=1077&elckey=-8560287488356331614&pageType=20&p=1&sid=7664658883607973443&jobAge=1427&relb=100&brelb=100&bscr=15592.252174076924&scr=15592.252174076924&searchTestGroup=1_2_1&iid=8317202902735552315
Data Engineer,AI Cybersecurity Company,"San Jose, CA",,Not Listed,"...Francisco Bay Area , where we are assembling a world-class team to tackle some of the most pressing challenges in cybersecurity. As a Data Engineer , you will be working on components that are extremely mission-critical and form the heart of the ecosystem being built....","Work at office, Remote work",https://jooble.org/away/-8197921511993508081?p=1&pos=33&rgn=55157&pageType=20&ckey=data+scientist&sid=7664658883607973443&jobAge=35&relb=10&brelb=10&scr=15513.300611845361&bscr=15513.300611845361&elckey=-8560287488356331614&searchTestGroup=1_2_1&iid=-586365372778245399
Lead Data Scientist,Streamline Media Group,Remote,,Not Listed,"...Job Responsibilities: Manage data scientist and data specialist team. Identify the efficient source for quality data collection, Lead data collection and data mining processes. Ensure and guarantee data integrity. Analyze data and interpret data problems...","Remote job, Full time",https://jooble.org/desc/-8979264032455520769?ckey=data+scientist&rgn=55157&pos=34&groupId=1077&elckey=-8560287488356331614&pageType=20&p=1&sid=7664658883607973443&jobAge=11&relb=110&brelb=110&bscr=15432.58641790313&scr=15432.58641790313&searchTestGroup=1_2_1&iid=-6572302754364570343
Data Scientist,Visa,"Miami, FL",116800.0,yearly,"...industry leader. Join us today and experience Life at Visa. Job Description Visa USA Inc., a Visa Inc. company, needs a Data Scientist (multiple openings) in Miami, FL to: Extract and understand data to form an opinion to support clients and derive relevant...","Work at office, Local area, Remote work, 2 days per week, 3 days per week",https://jooble.org/away/-2106805501398606354?p=1&pos=35&rgn=55157&pageType=20&ckey=data+scientist&sid=7664658883607973443&jobAge=59&relb=110&brelb=110&scr=15407.337068959108&bscr=15407.337068959108&elckey=-8560287488356331614&searchTestGroup=1_2_1&iid=-2196043266210492778
Remote Data Entry Specialist,Hope Grows Corp,Remote,,Not Listed,...class lawn/landscaping services to the north side of Indianapolis and surrounding suburbs. We are seeking a detail-oriented Remote Data Entry Specialist to join our team. The ideal candidate will be responsible for accurately entering data into our systems from...,"Remote job, Full time",https://jooble.org/desc/6009075339944214435?ckey=data+scientist&rgn=55157&pos=36&groupId=1077&elckey=-8560287488356331614&pageType=20&p=1&sid=7664658883607973443&jobAge=467&relb=110&brelb=110&bscr=15353.985761351647&scr=15353.985761351647&searchTestGroup=1_2_1&iid=3154675164342638445
Data Scientist III,SGS Consulting,Remote,,Not Listed,"...working in a technically complex and ambiguous environment Previous ads experience preferred, but not essential Experience with data querying languages (e.g., SQL) Experience with scripting languages (e.g., Python) Experience with statistical/mathematical...",Remote job,https://jooble.org/desc/-2529780193504080204?ckey=data+scientist&rgn=55157&pos=37&groupId=1077&elckey=-8560287488356331614&pageType=20&p=1&sid=7664658883607973443&jobAge=1433&relb=100&brelb=100&bscr=15334.83669043709&scr=15334.83669043709&searchTestGroup=1_2_1&iid=7274538409953104728
Data Engineer,"Definitive Healthcare, US","Framingham, MA",69000.0,yearly,"...Definitive Healthcare (NASDAQ: DH), we're passionate about turning data, analytics, and expertise into meaningful intelligence that... Collaboration and Continuous Improvement: Partner with data scientists, analysts, product teams, and business stakeholders to understand...","Remote work, Flexible hours",https://jooble.org/away/-6624416936034309786?p=1&pos=38&rgn=55157&pageType=20&ckey=data+scientist&sid=7664658883607973443&jobAge=179&relb=110&brelb=110&scr=15210.280907642298&bscr=15210.280907642298&elckey=-8560287488356331614&searchTestGroup=1_2_1&iid=103924979851997614
"Engineering Manager, ML/Data Engineering (Content Trust)",Scribd,"Sacramento, CA",163000.0,yearly,"...Manager of ML Data Engineering The ML Data Engineering team is the backbone of Scribd's commitment to a safe and trustworthy library. We build high-throughput, ML-driven data pipelines that process hundreds of millions of documents to detect, classify, and mitigate...","Temporary work, Local area, Home office, Flexible hours",https://jooble.org/away/-8140997331897302915?p=1&pos=39&rgn=55157&pageType=20&ckey=data+scientist&sid=7664658883607973443&jobAge=91&relb=10&brelb=10&scr=15200.9436169118&bscr=15200.9436169118&elckey=-8560287488356331614&searchTestGroup=1_2_1&iid=3940627763808629299
Data Center Electrical Engineer,Applied Digital,"Jamestown, ND",,hourly,"...Job Description Job Description Title: Data Center Electrical Engineer – Blockchain Hosting Organization Name: Applied Talent Resources FLSA Status: Exempt Job Level: Individual Contributor Primary Location: Jamestown or Ellendale, ND Reports To...","Hourly pay, Contract work, For contractors, Work at office, Remote work, Work from home, Shift work, Night shift, Weekend work",https://jooble.org/away/-7577963174667694685?p=1&pos=40&rgn=55157&pageType=20&ckey=data+scientist&sid=7664658883607973443&jobAge=32&relb=110&brelb=110&scr=15194.70173673133&bscr=15194.70173673133&elckey=-8560287488356331614&searchTestGroup=1_2_1&iid=5865756943848939885
